lat,lng,count
-61,-94.85,0
-60.73,-96,0
-60.74,-97,0
-60.9,-98,0
-61,-98.56,0
-61.18,-99,0
-61.27,-100,0
-61.31,-101,0
-61.22,-102,0
-61,-102.55,0
-60.79,-103,0
-60.29,-104,0
-60.01,-105,0
-59.9,-106,0
-59.87,-107,0
-59.86,-108,0
-59.89,-109,0
-59.97,-110,0
-60.13,-111,0
-60.21,-112,0
-60.19,-113,0
-60.05,-114,0
-59.98,-115,0
-59.78,-116,0
-59.57,-117,0
-59.5,-118,0
-59.53,-119,0
-59.46,-120,0
-59.35,-121,0
-59,-121.79,0
-58.84,-123,0
-59,-123.68,0
-59.2,-124,0
-59.86,-125,0
-59.59,-126,0
-59.3,-127,0
-59.1,-128,0
-59.06,-129,0
-58.82,-130,0
-58.44,-131,0
-58.09,-132,0
-57.81,-133,0
-57.56,-134,0
-57.21,-135,0
-57,-135.59,0
-56.88,-136,0
-57,-136.5,0
-57.17,-137,0
-57.44,-138,0
-57.46,-139,0
-57.35,-140,0
-57.01,-141,0
-56.8,-142,0
-56.63,-143,0
-56.27,-144,0
-56,-144.63,0
-55.83,-146,0
-55.8,-147,0
-55.75,-148,0
-55.61,-149,0
-55.88,-150,0
-55.84,-151,0
-55.61,-152,0
-55.71,-153,0
-55.9,-154,0
-56,-154.42,0
-56.45,-155,0
-56.98,-156,0
-57.23,-157,0
-57.19,-158,0
-57,-158.57,0
-56.51,-159,0
-56.09,-160,0
-56.73,-161,0
-57,-161.31,0
-57.61,-161,0
-57.91,-160,0
-58.2,-161,0
-58.23,-162,0
-58.37,-163,0
-58.51,-164,0
-58.61,-165,0
-58.72,-166,0
-59,-166.39,0
-59.51,-167,0
-60,-167.45,0
-60.27,-168,0
-60.59,-169,0
-60.66,-170,0
-60.3,-171,0
-60,-171.55,0
-59.83,-172,0
-59.84,-173,0
-60,-173.89,0
-60.42,-175,0
-60.62,-176,0
-60.79,-177,0
-60.65,-178,0
-60.82,-179,0
-61.36,180,0
-61.61,179,0
-61.28,178,0
-61.43,177,0
-62,176.14,0
-62.26,175,0
-62,174.08,0
-61.8,173,0
-61.89,172,0
-61.63,171,0
-61.27,170,0
-61.1,169,0
-60.81,168,0
-60.68,167,0
-60.61,166,0
-60.36,165,0
-60.3,164,0
-60.42,163,0
-60,162.31,0
-59.74,162,0
-59,161.31,0
-58.46,161,0
-58.66,160,0
-58.8,159,0
-58.33,158,0
-58,157.62,0
-57.52,157,0
-57.51,156,0
-58,155.45,0
-58.35,155,0
-58.48,154,0
-58.16,153,0
-57,152.83,0
-56.63,152,0
-57,151.21,0
-57.46,151,0
-57.34,150,0
-57,149.51,0
-56.53,149,0
-56,148.48,0
-55.51,148,0
-55,147.28,0
-54.82,146,0
-54.77,145,0
-54.7,144,0
-54.89,143,0
-55.22,143,0
-56,143.61,0
-57,143.28,0
-57.26,143,0
-58,142.16,0
-58.42,141,0
-58.45,140,0
-58.29,139,0
-58.05,138,0
-57.91,137,0
-57.9,136,0
-57.97,135,0
-57.99,134,0
-57.88,133,0
-57.52,132,0
-57,131.28,0
-56.83,130,0
-57,129.2,0
-58,129.26,0
-58.56,128,0
-58.53,127,0
-58.21,126,0
-58,125.53,0
-57.67,125,0
-57.36,124,0
-57.27,123,0
-57.28,122,0
-57.31,121,0
-57,120.13,0
-56,119.56,0
-55.78,119,0
-55.63,118,0
-55.7,117,0
-55.89,116,0
-56,115.42,0
-56.12,115,0
-56.11,114,0
-55.38,113,0
-55,112.74,0
-54.5,113,0
-54,113.3,0
-53,113.48,0
-52.88,113,0
-53,112.24,0
-53.21,111,0
-53.21,110,0
-53,109.03,0
-53.16,108,0
-54,107.38,0
-54.15,107,0
-54.05,106,0
-53.8,105,0
-53.69,104,0
-53.56,103,0
-53.42,102,0
-53.65,101,0
-54,100.07,0
-53.91,99,0
-53.59,98,0
-53.44,97,0
-53.64,96,0
-54,95.32,0
-55,95.58,0
-55.18,95,0
-55.03,94,0
-54.45,93,0
-54,92.6,0
-53.59,92,0
-53.56,91,0
-53.99,90,0
-54.8,89,0
-54.71,88,0
-54.59,87,0
-54.66,86,0
-54.72,85,0
-54,84.26,0
-53.3,83,0
-53,82.81,0
-52.59,82,0
-52.09,81,0
-51.81,80,0
-51.53,79,0
-51.42,78,0
-51.54,77,0
-52,76.48,0
-53,76.36,0
-54,76.14,0
-54.27,76,0
-55,75.2,0
-55.13,74,0
-55.17,73,0
-55.29,72,0
-55.39,71,0
-55.23,70,0
-55,69.56,0
-54.77,69,0
-54.37,68,0
-54.11,67,0
-54,66.48,0
-53.86,66,0
-53.84,65,0
-53.93,64,0
-54.2,63,0
-54.33,62,0
-54.32,61,0
-54.29,60,0
-54.16,59,0
-54.14,58,0
-54.17,57,0
-54.15,56,0
-54.12,55,0
-54,54.51,0
-53.9,54,0
-53.68,53,0
-53.51,52,0
-53.59,51,0
-53.68,50,0
-53.66,49,0
-53.45,48,0
-53.16,47,0
-53,46.36,0
-52.89,45,0
-53,44.08,0
-53.07,43,0
-53.01,42,0
-52,42.71,0
-51.65,42,0
-51.46,41,0
-51.75,40,0
-52,39.73,0
-52.99,39,0
-53.85,40,0
-54.45,39,0
-54.77,38,0
-54.54,37,0
-54.22,36,0
-54,35.4,0
-53.85,35,0
-53.4,34,0
-53,33.32,0
-52.69,33,0
-52,32.55,0
-51.74,32,0
-51.66,31,0
-51.78,30,0
-51.75,29,0
-51,28.53,0
-50.77,28,0
-50.54,27,0
-50.69,26,0
-51,25.11,0
-50.46,24,0
-50,23.33,0
-49.87,22,0
-50,21.38,0
-50.22,21,0
-50.5,20,0
-50.56,19,0
-50.61,18,0
-50.59,17,0
-50.64,16,0
-50.66,15,0
-50.57,14,0
-50.38,13,0
-50.52,12,0
-51,11.53,0
-51.23,11,0
-51.75,10,0
-51.75,9,0
-51.61,8,0
-51.58,7,0
-51.29,6,0
-51,5.5,0
-50.66,5,0
-50.9,4,0
-51.48,3,0
-51.6,2,0
-51.68,1,0
-51.6,0,0
-51,-0.42,0
-50.9,-1,0
68.09,-85,0
68,-84.16,0
67.91,-85,0
68.09,-85,0
67.76,-83,0
67.18,-82,0
67.05,-81,0
67.04,-80,0
66.95,-79,0
66.84,-78,0
66.73,-77,0
66.41,-76,0
66,-75.25,0
65.27,-74,0
65,-73.51,0
64.05,-73,0
63.68,-74,0
63.55,-75,0
63.59,-76,0
63.72,-77,0
63.76,-78,0
63.87,-79,0
64,-79.58,0
64.57,-81,0
64.98,-82,0
66,-82.52,0
66.61,-83,0
67,-83.49,0
67.76,-83,0
-50.83,-36,0
-50.85,-35,0
-50.79,-34,0
-50.87,-33,0
-51.54,-33,0
-51.9,-34,0
-51.27,-35,0
-51.23,-36,0
-51,-36.16,0
-50.83,-36,0
-52.89,-45,0
-52.88,-44,0
-53,-43.37,0
-53.26,-44,0
-53.25,-45,0
-53,-45.23,0
-52.89,-45,0
-55.36,83,0
-55.07,84,0
-55.4,85,0
-56,85.43,0
-56.3,85,0
-56.53,84,0
-56.25,83,0
-56,82.63,0
-55.36,83,0
-57.54,162,0
-58,162.34,0
-58.42,162,0
-58,161.34,0
-57.54,162,0
75,-22.75,0
74.48,-23,0
74.82,-24,0
74.87,-25,0
75,-25.09,0
75,-85.45,0
74.84,-87,0
74.71,-88,0
74.71,-89,0
74.56,-90,0
74.41,-91,0
74.39,-92,0
74,-92.53,0
73.6,-93,0
73.93,-94,0
74,-94.94,0
74.33,-96,0
74.02,-97,0
73,-97.18,0
72,-96.67,0
71.65,-97,0
71.46,-98,0
71.27,-99,0
71.34,-100,0
71.27,-101,0
71.08,-102,0
70.73,-101,0
70,-100.31,0
69.55,-99,0
69.66,-98,0
69.36,-97,0
69.34,-96,0
69,-95.79,0
68.53,-95,0
68.55,-94,0
69,-93.26,0
69.52,-94,0
69.46,-95,0
70,-95.69,0
71,-95.7,0
71.6,-95,0
71.18,-94,0
70.27,-93,0
70,-92.83,0
69.38,-92,0
69.04,-91,0
68.06,-90,0
68.77,-89,0
68,-88.39,0
67.66,-89,0
67.95,-90,0
67.9,-91,0
67.88,-92,0
67.65,-93,0
67.46,-94,0
67,-94.68,0
66.68,-95,0
66.58,-96,0
66.5,-97,0
66,-97.56,0
65.34,-98,0
65.42,-99,0
65.28,-100,0
65.72,-101,0
65.63,-102,0
65.82,-103,0
66.23,-103,0
67,-102.46,0
67.52,-103,0
68,-103.5,0
68.28,-104,0
69,-104.49,0
69.51,-105,0
69.64,-106,0
69.9,-107,0
70.33,-108,0
70.82,-109,0
